ID,"input word",pronounce,part-of-speech,translation,synonyms,alt-synonyms
14941,passable,ˈpasəbəl,adjective,járható,viable|acceptable|admissible|bearable|tolerable|tol-lol,elfogadható|tűrhető
14942,passably,ˈpasəblē,,passably,,
14943,passage,ˈpasij,noun,"átjáró, átkelés",thoroughfare|transit|pervasion|crossing,átjárás|átkelés|keresztülhaladás
14944,passageway,ˈpasijˌwā,noun,átjáró,gangway|alley|lane|gap|corridor|aisle|gangway|portico,folyosó
14945,passe,,,elhalad,,
14946,passel,ˈpasəl,,passel,,
14947,passim,,,véletlenszerűen,,
14948,passing,ˈpasiNG,adjective,elhaladó,fleeting|transient|fugacious|cursory|momentary|non-persistent,múló|elmenő|futólagos
14949,passion,ˈpaSHən,noun,szenvedély,mania|hobby|blood|emotion|pathos|paddy,indulat|kedvtelés
14950,passional,,,szenvedélyes,,
14951,passionate,ˈpaSHənit,adjective,szenvedélyes,impassioned|hot|passional|hectic|tropical|intense|heated|impetuous|hot|vehement,heves
14952,passionateness,,,passionateness,,
14953,passionless,ˈpaSHənlis,adjective,szenvtelen,dispassionate|cold-livered|dead-pan,
14954,passive,ˈpasiv,adjective,passzív,suffering|idle|inactive|inert|indolent|leisured,szenvedő|tétlen
14955,passport,ˈpasˌpôrt,noun,útlevél,,
14956,password,ˈpasˌwərd,noun,Jelszó,"watchword|word|catchword|code word|parole",jelszó
14957,past,past,adjective,múlt,"gone|passed|departed|old|ancient|of old|pristine|bygone","elmúlt|régi|múlt idejű"
14958,"past master",,noun,"múlt mester","grand master|past-master|expert|fancier|adviser|connoisseur|adept|judge",nagymester|szakértő
14959,paste,pāst,noun,paszta,pasta|noodles|ointment|salve|unguent|liniment|unction,tészta|kenőcs
14960,pasteboard,ˈpās(t)ˌbôrd,noun,karton,cardboard|calico,kartonlemez|papundekli
14961,pastel,paˈstel,adjective,pasztell,,
14962,pastiche,"paˈstēSH,pä-",noun,utánzat,counterfeit|parody|artificial|echo,
14963,pastoral,"pasˈtôrəl,ˈpastərəl",adjective,pásztori,bucolic,lelkészi
14964,pasturage,ˈpasCHərij,noun,legeltetés,grazing,
14965,pasture,ˈpasCHər,noun,legelő,grass|lea|shieling|paddock,
14966,pasty,"ˈpastē,ˈpāstē",adjective,pástétom,gooey|sticky|viscous|runny|clammy,tésztás|nyúlós
14967,pat,pat,adjective,pat,,"kellő időben jövő"
14968,patch,paCH,noun,tapasz,"plaster|adhesive plaster|spot|stain|blot|blur|freckle",folt
14969,"patch together",,,"patch együtt",,
14970,patchwork,ˈpaCHˌwərk,noun,fércmű,pot-boiler|machination,tákolmány
14971,"patchwork quilt",,,"patchwork paplan",,
14972,pate,pāt,noun,pástétom,pie|pasty|skull|cranium|head|noddle|nob,koponya|fej
14973,patent,,noun,szabadalom,,kiváltságlevél
14974,patented,,,szabadalmaztatott,,
14975,path,paTH,noun,pálya,"route|track|course|field|course|court|orbit|ice run|lane|byway|loaning|track",útvonal|ösvény|nyomvonal
14976,pathetic,pəˈTHetik,adjective,szánalmas,miserable|pitiable|piteous|woeful|woesome,érzelmes
14977,pathless,,adjective,úttalan,roadless,
14978,pathway,ˈpaTHˌwā,noun,útvonal,pedestrian|sidewalk,gyalogjáró|gyalogösvény
14979,patience,ˈpāSHəns,noun,türelem,forbearance|toleration|suffering|long-suffering,"pasziánsz kártyajáték"
14980,patient,ˈpāSHənt,noun,türelmes,"a patient|crook",beteg
14981,patina,pəˈtēnə,noun,patina,verdigris,
14982,patio,ˈpatēˌō,noun,terasz,,"kis zárt belső udvar"
14983,patois,,,patois,,
14984,patrician,pəˈtriSHən,noun,patrícius,,
14985,patriciate,"-ˌāt,pəˈtriSHē-it",,patríciusok,,
14986,patrimony,ˈpatrəˌmōnē,noun,"apai örökség",,"családi vagyon"
14987,patriot,ˈpātrēət,noun,hazafi,nationalist,patrióta
14988,patriotic,ˌpātrēˈätik,adjective,hazafias,nationalistic,hazafiúi
14989,patriotism,,noun,hazaszeretet,nationalism,hazafiasság
14990,patron,ˈpātrən,noun,pártfogó,protector|helper,pártoló|védnök
14991,"patron saint",,,"szent védőszentje",,
14992,patronage,"ˈpatrənij,ˈpā-",noun,pártfogás,advocacy|auspices,védnökség|pártolás
14993,patronize,"ˈpa-,ˈpātrəˌnīz",verb,oltalmaz,"protect|safeguard|shelter|provide protection|stand up for|favor|favour",pártfogol
14994,patsy,ˈpatsē,,Patsy,,
14995,patter,ˈpatər,verb,kopog,"knock|chap|ping|drip|dribble|pass|pass by|get by",csöpög|elhalad
14996,pattern,ˈpatərn,noun,minta,motif|motive|template|mode|methods|way|style|manner|paragon|method|technique|system|mode|manner|order|swath|orderliness|trim|system|scheme|order|type,motívum|sablon|mód|mintakép|módszer|rend|rendszer|szórásterület
14997,pattie,,,Pattie,,
14998,patty,ˈpatē,,Patty,,
14999,paucity,ˈpôsitē,noun,csekélység,trifle|triviality|jot|pettiness|bagatelle|dearth|scantiness,szűkösség
15000,paunch,"pänCH,pônCH",noun,pocak,abdomen|belly|tummy|pod|venter|rumen|maw,has|bendő
15001,paunchy,,adjective,pocakos,"pot-bellied|tubby|pot-bellied|pregnant|abdominous|with young",potrohos|hasas
15002,pauperism,,noun,tömegnyomor,poverty|poorness|destitution|indigence|beggary,szegénység
15003,pauperized,,verb,elszegényedett,impoverish|pauperize|poor|pauperize,"elszegényít|ínségre juttat"
15004,pause,pôz,noun,szünet,break|cease|interval|intermission|lull|discontinuity|discontinuance|rupture,megszakítás
15005,pavilion,pəˈvilyən,noun,pavilon,kiosk,"kerti ház"
15006,pawn,pôn,noun,zálog,pledge|gage|hock|borrow,
15007,pay,pā,noun,fizetés,"payment|salary|wage|earnings|military pay|payment|salary|stipend|allowance|military pay|service pay|allowance",fizetség|illetmény|zsold|járandóság
15008,"pay envelope",,,"fizessen borítékot",,
15009,"pay off",,verb,kifizetni,"pay out|disburse|pay|offset|equalize|balance|level","kifizet|kiegyenlít|megfizet vmiért"
15010,"pay up",,verb,"fizess, fizetnék, fizessünk","pay back|reimburse|repay|retort|retaliate",visszafizet
15011,payable,ˈpāəbəl,adjective,kifizetendő,,
15012,payback,ˈpāˌbak,verb,megtérülési,"pay back|pay back|reimburse|repay|pay up|retort|retaliate",megfizet|visszafizet
15013,paycheck,ˈpāˌCHek,,fizetés-ellenőrzés,,
15014,paying,,verb,fizető,"pay|fork out|defray|expend|pay|offset|equalize|balance|level|compensate|pay","fizet|kiegyenlít|kifizeti magát"
15015,payload,ˈpāˌlōd,noun,"hasznos teher","squib|filler|bursting charge|destructive charge|warhead","hasznos terhelés|robbanótöltet|bombateher"
15016,payment,ˈpāmənt,noun,fizetés,"salary|pay|wage|earnings|military pay|disbursement|pay",kifizetés|fizetség
15017,payoff,ˈpāˌôf,noun,kifizetni,"repayment|amortization|redemption|pay-off|pay-off|reckoning|off reckoning|pay-off|reckoning|pay-off",törlesztés|megtérülés|elszámolás|leszámolás
15018,pdq,,,pdq,,
15019,peace,pēs,noun,béke,peacetime|tranquility|calm|quiet|rest|calmness,nyugalom
15020,peaceable,ˈpēsəbəl,adjective,békeszerető,peace-loving,
15021,peaceful,ˈpēsfəl,adjective,Békés,placid|tranquil|pacific|harmonious|calm|quiet|relaxed|tranquil|still|quiet|silent|calm|still|pacific,békés|nyugodt|csendes
15022,peacefulness,,,nyugalom,,
15023,peacemaker,ˈpēsˌmākər,noun,békéltető,pacifier|make-peace,békeszerző
15024,peacemaking,,noun,békéltetés,conciliation,
15025,peacenik,ˈpēsˌnik,,békeharcos,,
15026,peach,pēCH,noun,őszibarack,,
15027,peachy,ˈpēCHē,adjective,hamvas,bloomy,
15028,"peachy keen",,adjective,barátságos,peachy|bloomy,hamvas
15029,peak,pēk,noun,csúcs,top|apex|summit|vertex|tip|pinnacle|height|climax|zenith|vertex|paroxysm,orom|tetőpont
15030,peaked,"pēkt,ˈpēˌkid",adjective,csúcsos,pointed,
15031,peaky,,adjective,hegyes,pointed|acute|sharp|mountainous|hilly|thin|lean|scraggy|meager|meagre|drawn-out,vézna|nyúzott
15032,peal,,,rajta,,
15033,peanut,ˈpēnət,noun,földimogyoró,"groundnut|hazelnut|nut|filbert|cob nut|groundnut|monkey nut|earth-nut","mogyoró|amerikai mogyoró"
15034,peanuts,,noun,földimogyoró,trifle|pinkie|tot|nothingness|nothing|doit,apróság|semmiség
15035,pearl,pərl,noun,gyöngyszem,,igazgyöngy
15036,pearlescent,pərˈlesənt,,gyöngyházfényű,,
15037,pebbly,,adjective,kavicsos,gritty|gravelly|shingly,
15038,peck,pek,noun,csípés,tweak|pinch|sting|tingle|knot|node|lump|cluster|tie|pile|heap|mass|batch|clump,csomó|halom
15039,"peck at",,,"peck itt",,
15040,pecksniffian,,,pecksniffian,,
15041,peculiar,pəˈkyo͞olyər,adjective,különös,strange|particular|extraordinary|quaint|fanciful,sajátságos
15042,peculiarity,pəˌkyo͞olēˈaritē,noun,sajátosság,specificity|particularity|nature|specialty|speciality|oddity|caviar|speciality,különlegesség
15043,pecuniary,piˈkyo͞onēˌerē,adjective,pénzügyi,financial|monetary|material|financial|corporeal|logistical|logistic,anyagi
15044,pedagogue,ˈpedəˌgäg,noun,pedagógus,educator|schoolmaster,
15045,peddle,ˈpedl,verb,házal,,"kicsiségekkel foglalkozik"
15046,peddler,"ˈpedl-ər,ˈpedlər",noun,házaló,hawker|pedlar|battler|huckster,
15047,pedestrian,pəˈdestrēən,adjective,gyalogos,wayfaring,
15048,pedigree,ˈpedəˌgrē,noun,családfa,"family tree|lineage|genealogical tree|origin|origins|provenance|descent|ancestry",származás
15049,pedigreed,,,fajtiszta,,
15050,pedlar,,noun,házaló,peddler|hawker|battler|huckster,
15051,peek,pēk,verb,kandikál,pry|peep|keek,kukucskál
15052,peel,pēl,noun,héj,shell|skin|husk|hull|rind|epidermis|scarf-skin,felhám
15053,"peel off",,verb,meghámoz,"flake off",lehámlik
15054,peeled,,verb,hámozott,"peel|scale|peel|peel|get isolated",hámlik|hámoz|leválik
15055,peep,pēp,verb,kukucskál,peek|keek|tweet|chirp|pip|cheep,csipog
15056,peer,pi(ə)r,adjective,egyenrangú,"coequal|in a par with|on a par with",
15057,peeress,,,"főrangú nő",,
15058,peerless,ˈpi(ə)rlis,adjective,páratlan,unique|unmatched|odd|uneven|matchless|inimitable|unequalled|unique|single|singular|alone|unmatched,utolérhetetlen|egyedülálló
15059,peeve,pēv,verb,idegesít,irritate|bother|annoy|vex|aggravate|rile|irk,bosszant
15060,peeved,,verb,zabos,peeve|irritate|bother|annoy|vex|aggravate|rile|irk|fret,idegesít|bosszant
15061,peeving,pēv,verb,peeving,peeve|irritate|bother|annoy|vex|aggravate|rile|irk|peeve,idegesít|bosszant
15062,peevish,ˈpēviSH,adjective,szeszélyes,capricious|whimsical|freakish|fitful|petulant|grouchy|irritable|nervous|excitable|hot-tempered|ill-tempered,nyűgös|ingerlékeny
15063,peevishness,,,peevishness,,
15064,peewee,ˈpēˌwē,,peewee,,
15065,peg,peg,noun,szeg,"nail|spike|picket|rack|hat-rack|clothes peg|hat stand",cövek|ruhafogas
15066,"peg away",,verb,"kitartóan dolgozik",,gürizik
15067,pejorative,"pəˈjôrətiv,ˈpejəˌrātiv",adjective,becsmérlő,disparaging|reproachful|unapproving|disapprobative,rosszalló|lebecsülő
15068,pelage,,,kabát,,
15069,pelagic,pəˈlajik,,nyíltvízi,,
15070,pelf,pelf,noun,pénz,money|currency|needful|chink|property|wealth|fortune|estate|possessions|riches|richness|opulence|exuberance|profusion,vagyon|gazdagság
15071,pellet,ˈpelit,noun,pellet,globule,golyócska
15072,pell-mell,,,Skin-mell,,
15073,pellucid,pəˈlo͞osid,adjective,átlátszó,transparent|limpid|hyaline|diaphanous,
15074,pelt,pelt,noun,szőrme,"fur|dermis|hide|shower|rain shower|rain|downpour|heavy rain",megdobás|irha|nyersbőr|zápor
15075,pen,pen,noun,toll,"plume|corral|fold|pinfold|stock yard|cattle-pen",akol|karám
15076,penal,ˈpēnəl,adjective,büntető,punitive|retributive|penitentiary|punishable,büntethető
15077,penalize,"ˈpenəlˌīz,ˈpē-",verb,szankcionálja,chastise,"megbüntet|büntetendőnek nyilvánít"
15078,penalizing,,verb,büntetése,chastise|penalize|penalize,"megbüntet|büntetendőnek nyilvánít"
15079,penalty,ˈpenltē,noun,büntetés,punishment|fine|retribution|chastisement|castigation|fine|forfeit,bírság|büntető
15080,penchant,ˈpenCHənt,noun,előszeretet,predilection,"erős hajlam"
15081,pendant,ˈpendənt,noun,függő,earring|eardrop|chandelier,fülbevaló|nyakék|csillár
15082,pendent,ˈpendənt,adjective,függő,pending,"függőben levő"
15083,pending,ˈpendiNG,adjective,"függőben levő",pendent|undecided,"elintézetlen|el nem döntött"
15084,pendulous,"ˈpendyə-,ˈpenjələs",adjective,lógó,dangling|aerial|dependent|hanging|suspended|conditional|pensile|swinging,függő|lengő
15085,penetrable,ˈpeniˌtrəbəl,adjective,áthatolható,permeable|pervious|sensitive|susceptible|sensible|irritable|touchy,érzékeny
15086,penetrate,ˈpeniˌtrāt,verb,behatol,"move in|intrude|permeate|come through|plough through|break through|mash|shoot through|breach|pierce|transpierce|transfix|pervade|punch|pierce",áthatol|áttör|átszúr|átjár|átüt
15087,penetrating,ˈpeniˌtrātiNG,adjective,átható,pervasive|penetrative|sharp|live|keen|cutting|acute,éles
15088,peninsula,pəˈninsələ,noun,félsziget,isle,
15089,penitence,ˈpenitns,noun,bűnbánat,repentance|penance|contrition|expiation|propitiation,vezeklés
15090,penitent,ˈpenitnt,adjective,bűnbánó,repentant|contrite|remorseful|repentant|purgatory|contrite,vezeklő
15091,penitentiary,ˌpenəˈtenSHərē,noun,börtön,"prison|jail|limbo|prison house|gaol","gyóntató pap"
15092,penman,ˈpenˌmən,noun,szépíró,,
15093,penmanship,ˈpenmənˌSHip,noun,szépírás,pencraft,írásművészet
15094,pennant,ˈpenənt,noun,jelzőzászló,"marker|signal flag|flag alarm",árbocszalag
15095,penniless,ˈpenēlis,adjective,nincstelen,"needy|poverty-stricken|lack-all|destitute|moneyless|out of pocket|stony-broke|impecunious|broken",pénztelen
15096,pennon,,noun,kopjalobogó,,
15097,penny-pincher,,,penny-tolvaj,,
15098,penny-pinching,,,penny-csípés,,
