ID,"input word",pronounce,part-of-speech,translation,synonyms,alt-synonyms
28487,"be familiar with",,verb,"ismerkedj meg",,ismeri
28488,"be far less",,,"sokkal kevesebb",,
28489,"be fascinated with",,,"lenyűgözni kell",,
28490,"be featured",,,"szerepelniük kell",,
28491,"be filled with",,,"tele legyen",,
28492,"be fitting",,,Illik,,
28493,"be fond of",,verb,szeret,"like|love|hold dear|adhere|cling",ragaszkodik
28494,"be forced to",,,kényszerüljön,,
28495,"be foul-mouthed",,,tévedjen,,
28496,"be found",,verb,találhatók,"bypass|get around|compass|put by|outflank",előkerül|megkerül
28497,"be found lacking",,,hiányzik,,
28498,"be frank",,,"légy őszinte",,
28499,"be friendly",,,"légy barátságos",,
28500,"be friends",,,"barátoknak lenni",,
28501,"be frugal",,,"legyen takarékos",,
28502,"be frugal with",,,"légy kövér",,
28503,"be full",,,"légy teljes",,
28504,"be full of",,,"Tele lenni",,
28505,"be furious",,,"legyen dühös",,
28506,"be getting along",,,"járjon el",,
28507,"be given",,,"meg kell adni",,
28508,"be given one's due",,,"meg kell adni",,
28509,"be glad",,verb,örülni,"be happy|joy",örül
28510,"be glimpsed",,,ránézni,,
28511,"be gloomy",,,"legyen komor",,
28512,"be going to",,,menj,,
28513,"be gone",,verb,"legyen eltűnt",begone,"eredj innen"
28514,"be good",,,"légy jó",,
28515,"be good enough",,,"elég jó legyen",,
28516,"be good for",,,"légy jó ehhez",,
28517,"be gracious",,,"legyen kedves",,
28518,"be gracious to",,,"legyen kedves",,
28519,"be gratified by",,,"legyen elégedett",,
28520,"be grossed out by",,,"ki kell emelnie",,
28521,"be guided by",,,vezesse,,
28522,"be guilty",,,bűnös,,
28523,"be happy",,verb,"Legyél boldog","be glad|joy",örül
28524,"be hard up",,,"legyen kemény",,
28525,"be heavy",,,"nehéz legyen",,
28526,"be honest",,,"őszintének lenni",,
28527,"be host",,,"legyen gazdagép",,
28528,"be hostile to",,,ellenségeskedjenek,,
28529,"be hurting for",,,fájni,,
28530,"be hyper",,,"legyen hiper",,
28531,"be identical",,,"azonosnak kell lennie",,
28532,"be imminent",,,közeledjék,,
28533,"be immoral",,,"legyen erkölcstelen",,
28534,"be important",,,fontos,,
28535,"be impoverished",,verb,leszegényedik,"impoverish|become poor|grow poor",elszegényedik
28536,"be in",,,legyen,,
28537,"be in a huff",,,"legyél egy rosszul",,
28538,"be in a quandary",,,"rendben van",,
28539,"be in accord",,,"összhangban legyen",,
28540,"be in arrears",,verb,"le van maradva",,
28541,"be in bloom",,,virágozzon,,
28542,"be in brown study",,,"legyen barna vizsgálatban",,
28543,"be in cahoots",,,"legyen cahoots-ban",,
28544,"be in cahoots with",,,"legyenek cahoots-ban",,
28545,"be in charge",,,felelős,,
28546,"be in contact",,,"lépjen kapcsolatba",,
28547,"be in corner",,,"legyen a sarokban",,
28548,"be in debt",,,"adósnak lenni",,
28549,"be in demand",,adjective,"legyen a kereslet",sought,keresett
28550,"be in favor of",,,támogassák,,
28551,"be in flower",,,"legyen virág",,
28552,"be in for",,verb,hódol,bow,
28553,"be in front of",,,"legyen előttem",,
28554,"be in harmony",,,"legyen összhangban",,
28555,"be in heat",,verb,"kutya tüzel",,
28556,"be in line",,,"legyen összhangban",,
28557,"be in line for",,,"legyen összhangban",,
28558,"be in love",,,"szerelmesnek lenni",,
28559,"be in love with",,,"legyen szerelmes",,
28560,"be in need of",,,"szüksége van",,
28561,"be in operation",,,működjön,,
28562,"be in place of",,,helyett,,
28563,"be in power",,,"legyen a hatalomban",,
28564,"be in session",,,üljön,,
28565,"be in store",,,"legyen a boltban",,
28566,"be in sympathy",,,szimpátia,,
28567,"be in the habit of",,,"legyen a szokás",,
28568,"be in touch",,,"kapcsolatban lenni",,
28569,"be in touch with",,,"lépjen kapcsolatba",,
28570,"be in vain",,,"hiába kell",,
28571,"be in want",,,"legyenek vágyók",,
28572,"be inactive",,verb,"inaktív legyen",,tétlen
28573,"be inadequate",,,"nem megfelelő",,
28574,"be inclined",,,ferde,,
28575,"be included",,verb,tartalmazza,,"be van vonva|beleértődik|belevont"
28576,"be incompetent",,,"legyen inkompetens",,
28577,"be incorporated",,,"be kell építeni",,
28578,"be incorrect",,,helytelen,,
28579,"be indebted",,,eladósodni,,
28580,"be indecorous",,,kellemetlen,,
28581,"be indiscreet",,,"legyen indiszkrét",,
28582,"be indolent",,,legyőzze,,
28583,"be inefficient",,,"ne legyen hatékony",,
28584,"be inert",,,"legyen inert",,
28585,"be infatuated with",,,behatoljon,,
28586,"be infested with",,,fertőzött,,
28587,"be influential",,,befolyásos,,
28588,"be informal",,,"legyen informális",,
28589,"be informed",,,"értesítve lenni",,
28590,"be innovative",,,"legyen innovatív",,
28591,"be inquisitive",,,"legyen kíváncsi",,
28592,"be insincere",,,"legyen bizonytalan",,
28593,"be insincere with",,,"legyen bizonytalan",,
28594,"be insubordinate",,,legyőzhetetlen,,
28595,"be insulted",,,megsértették,,
28596,"be intimate",,,"legyen intim",,
28597,"be into",,,be,,
28598,"be into one for",,,"legyen az egyikben",,
28599,"be involved",,,"részt venni benne",,
28600,"be irresolute",,,"legyen irresolute",,
28601,"be jammed with",,,elakadjon,,
28602,"be jealous",,verb,féltékeny,,féltékenykedik
28603,"be joined with",,,"csatlakozni kell",,
28604,"be jubilant",,,"legyen kedves",,
28605,"be keen on",,verb,"kedvel vmit","rave about","lelkesedik vmiért"
28606,"be kind to",,,"legyen kedves",,
28607,"be knowledgeable of",,,tudjon,,
28608,"be learned",,,tanulni,,
28609,"be left",,verb,maradjon,remain|continue,megmarad
28610,"be lenient",,,"legyenek engedelmesek",,
28611,"be level",,,"legyen szinten",,
28612,"be liable",,,felelősséget,,
28613,"be like",,adverb,"lenni, mint",perhaps|maybe|probably|belike|so-so,talán
28614,"be likely to",,,valószínűleg,,
28615,"be linked with",,,"legyen összekapcsolva",,
28616,"be loath",,,legyőzze,,
28617,"be located",,verb,található,,helyezkedik|elhelyezkedik
28618,"be lofty",,,"légy nagy",,
28619,"be lost",,,elveszett,,
28620,"be loyal",,,"lègy hűsèges",,
28621,"be mad about",,,"légy dühös",,
28622,"be made",,,tenni,,
28623,"be made of",,,készült,,
28624,"be malodorous",,,kellemetlen,,
28625,"be master of",,,"legyen mester",,
28626,"be match",,,egyezzen,,
28627,"be mean",,,"legyen átlag",,
28628,"be mean with",,,"legyen értelmes",,
28629,"be means of",,,"legyen eszköz",,
28630,"be mentioned",,,"meg kell említeni",,
28631,"be merciful",,,"legyen irgalmas",,
28632,"be met with",,,találkozzanak,,
28633,"be mischievous",,,huncut,,
28634,"be mistaken",,,tévedjen,,
28635,"be moody",,,"legyen hangulatos",,
28636,"be morose",,,"legyen morózus",,
28637,"be naughty",,verb,"légy rossz",,rossz
28638,"be nauseated",,,"hánytatni kell",,
28639,"be nauseous",,,hányinger,,
28640,"be near",,,"legyen közel",,
28641,"be near to",,,"legyen közel",,
28642,"be nearby",,,"legyen a közelben",,
28643,"be necessary",,,szükséges,,
28644,"be necessitated",,,szükséges,,
28645,"be needy",,,"legyen rászoruló",,
28646,"be nervous",,verb,"legyen ideges",jitter,idegeskedik
28647,"be next to",,,"legyen mellette",,
28648,"be nice",,,szép,,
28649,"be no more",,,"ne legyen több",,
28650,"be noncommittal",,,"nem kötelező",,
28651,"be nosy",,,legyőzze,,
28652,"be not amused",,,"ne szórakozzon",,
28653,"be noticeable",,,észrevehető,,
28654,"be nourished by",,,táplálják,,
28655,"be nuts about",,,"legyenek diófélék",,
28656,"be obligated",,,kötelezzék,,
28657,"be obligated to",,,kötelessége,,
28658,"be obliged",,verb,kötelesek,,"le van kötelezve"
28659,"be obliged to",,,kötelessége,,
28660,"be obsequious",,,"legyen engedelmes",,
28661,"be of advantage",,,előnyös,,
28662,"be of no avail",,,eredménytelen,,
28663,"be of use",,,hasznos,,
28664,"be off",,,"legyen kikapcsolva",,
28665,"be off the mark",,,"legyen le a jelből",,
28666,"be off with you",,,"legyen veled",,
28667,"be offended by",,,megsérteni,,
28668,"be offensive",,,sértő,,
28669,"be on a par with",,,"egyenlőnek kell lennie",,
28670,"be on at",,,bekapcsolva,,
28671,"be on cloud nine",,,"legyél kilencben",,
28672,"be on edge",,adjective,izgatott,excited|hectic|jumpy|agog|ablaze,
28673,"be on the edge",,,"legyen a szélén",,
28674,"be on the lookout",,,"legyünk a kilátóban",,
28675,"be on the mend",,,"legyen a javításon",,
28676,"be on to",,,legyen,,
28677,"be open",,,"légy nyitott",,
28678,"be opposite",,,"legyen ellentétes",,
28679,"be ordered",,,megrendelhető,,
28680,"be out of line",,,"ne legyen sorban",,
28681,"be out of order",,verb,"nem működik",go-no-go,
28682,"be out of sorts",,,"legyenek fajták",,
28683,"be over",,verb,vége,,
28684,"be overbearing",,,legyőzve,,
28685,"be overcome",,,leküzdeni,,
28686,"be overjoyed",,,"legyen boldog",,
28687,"be owing to",,,miatt,,
28688,"be packed with",,,"tele legyen",,
28689,"be paid",,,"kifizetve lenni",,
28690,"be parsimonious",,,kellemetlen,,
28691,"be part of",,,"legyen része",,
28692,"be partial to",,,részleges,,
28693,"be patient with",,,"legyen türelmes",,
28694,"be pedantic",,,"legyen pedáns",,
28695,"be perplexed",,,zavarodjon,,
28696,"be persistent",,,"legyen tartós",,
28697,"be pertinacious",,,kellemetlen,,
28698,"be pertinent",,,megfelelő,,
28699,"be pertinent to",,,"legyen releváns",,
28700,"be plausible",,,"valószínűnek kell lennie",,
28701,"be pleased",,,"legyen elégedett",,
28702,"be pleased by",,,"legyen elégedett",,
28703,"be pleasing",,,"legyen kedves",,
28704,"be plentiful",,,"legyen bőséges",,
28705,"be poor",,,szegény,,
28706,"be possessed of",,,legyen,,
28707,"be predisposed",,,hajlamosak,,
28708,"be pregnant",,,"terhesnek lenni",,
28709,"be prejudiced",,,előítéletek,,
28710,"be preoccupied",,,aggódj,,
28711,"be present",,,"jelen van",,
28712,"be prodigal with",,,"legyen türelmetlen",,
28713,"be profitable",,,nyereséges,,
28714,"be prominent",,,kiemelkedő,,
28715,"be promoted",,verb,"támogatni kell","get a promotion|advance",előléptetik|előlép
28716,"be proper",,,"legyen helyes",,
28717,"be proud of",,,"büszkének lenni",,
28718,"be proxy for",,,"legyen proxy",,
28719,"be prudent",,,"legyen óvatos",,
28720,"be put off by",,,"tedd le",,
28721,"be puzzled",,verb,"zavarban van","ill at ease|be embarrassed",
28722,"be qualified",,,"képesnek kell lennie",,
28723,"be qualified for",,,"képesnek kell lennie",,
28724,"be qualmish",,,"légy kegyes",,
28725,"be quick",,,gyorsan,,
28726,"be quiet",,,"maradj csöndben",,
28727,"be read",,,olvasni,,
28728,"be ready for",,,"készen állsz",,
28729,"be realized",,verb,megvalósítani,"materialize|come true",megvalósul|értékesítik
28730,"be redolent of",,,"legyenek feleslegesek",,
28731,"be reduced",,,"csökkenteni kell",,
28732,"be regarded as",,,"kell tekinteni",,
28733,"be related",,,kapcsolatban,,
28734,"be relevant",,,releváns,,
28735,"be relevant to",,,releváns,,
28736,"be reluctant",,,vonakodik,,
28737,"be repelled by",,,legyőzni,,
28738,"be reprehensible",,,elítélhető,,
28739,"be repulsive",,,"legyen visszataszító",,
28740,"be required",,,szükséges,,
28741,"be required to",,,kell,,
28742,"be responsible for",,,"felelős valamiért",,
28743,"be restored",,,"vissza kell állítani",,
28744,"be revealed",,,feltárni,,
28745,"be rich in",,,"legyen gazdag",,
28746,"be right",,,"igaza van",,
28747,"be romantic",,,"légy romantikus",,
28748,"be rotten",,,"légy rothadt",,
28749,"be sad",,,"légy szomorú",,
28750,"be schooled",,,"iskolázni kell",,
28751,"be seasick",,,"legyél a tengerparton",,
28752,"be seated",,,üljön,,
28753,"be sedulous",,,nyugodt,,
28754,"be seeing you",,,lássátok,,
28755,"be seen with",,,"látni kell",,
28756,"be seized",,,lefoglalni,,
28757,"be seized of",,,lefoglalni,,
28758,"be selected for",,,"legyen kiválasztva",,
28759,"be serviceable for",,,használhatók,,
28760,"be servile",,,"légy szolgálatban",,
28761,"be short",,,"legyen rövid",,
28762,"be sick",,,"betegnek lenni",,
28763,"be sick of",,verb,"elege van valamiből",,
28764,"be silent",,,hallgasson,,
28765,"be silly",,,"ostoba legyen",,
28766,"be similar to",,,"hasonló legyen",,
28767,"be situated",,,"helyezkedjen el",,
28768,"be skillful",,,ügyes,,
28769,"be sleepy",,,"legyen álmos",,
28770,"be slothful",,,legyőzze,,
28771,"be slow to",,,lelassul,,
28772,"be smitten",,,legyőzni,,
28773,"be sociable with",,,"legyen barátságos",,
28774,"be social",,,"legyen szociális",,
28775,"be socially active",,,"társadalmilag aktív",,
28776,"be something",,,"legyen valami",,
28777,"be sorry",,verb,sajnálni,,
28778,"be sorry for",,verb,sajnálom,,"sajnálni vmit"
28779,"be sparing",,,"takarítson meg",,
28780,"be sparing with",,,"takarítson meg",,
28781,"be specific",,,pontosíts,,
28782,"be staunch",,,"legyetek meggyőzőek",,
28783,"be steadfast",,,"legyetek kitartóak",,
28784,"be stingy",,verb,fukar,,
28785,"be straightforward",,,"legyen egyszerű",,
28786,"be stricken with",,,legyőzni,,
28787,"be stripped of",,,megfosztani,,
28788,"be stuck on",,,"be kell ragadnia",,
28789,"be subject to",,,"hatálya alá tartozik",,
28790,"be subjected to",,,"kell alávetni",,
28791,"be subsequent to",,,utólag,,
28792,"be successful",,,"sikeresnek lenni",,
28793,"be sufficient",,verb,elegendő,,megfelelő
28794,"be suggestive of",,,utaljon,,
28795,"be suitable",,,"alkalmasnak kell lennie",,
28796,"be suitable for",,,"alkalmasnak kell lennie",,
28797,"be sullen",,,"legyél szégyent",,
28798,"be superior",,,"legyen jobb",,
28799,"be supported",,,"támogatni kell",,
28800,"be supported by",,,"támogatni kell",,
28801,"be supposed to",,verb,"köteles vmit tenni",,
28802,"be sure",,,"biztosnak lenni",,
28803,"be sure of",,,"győződjön meg róla",,
28804,"be surprised",,,"lepődj meg",,
28805,"be suspended",,,felfüggesztik,,
28806,"be suspicious of",,,gyanús,,
28807,"be swallowed up",,,lenyelni,,
28808,"be sweet on",,,"legyen édes",,
28809,"be sympathetic",,,"legyen szimpatikus",,
28810,"be symptomatic",,,tüneti,,
28811,"be taken as",,,"kell venni",,
28812,"be taken in",,,"be kell venni",,
28813,"be taken unawares",,,megfogalmazatlan,,
28814,"be taken with",,,"kell venni",,
28815,"be tantamount",,,egyenértékű,,
28816,"be taught",,,tanítani,,
28817,"be tenacious",,,"legyen szívós",,
28818,"be that as it may",,,"legyen az, mint lehet",,
28819,"be the case",,,"a helyzet",,
28820,"be the equal of",,,"legyen egyenlő",,
28821,"be the victor",,,"legyen a győztes",,
28822,"be there",,,"ott lenni",,
28823,"be there for",,,"legyen ott",,
28824,"be tireless",,,fáradhatatlanul,,
28825,"be told",,,megmondva,,
28826,"be trained",,,képzett,,
28827,"be transmitted",,,"továbbítani kell",,
28828,"be troubled",,,aggódj,,
28829,"be true",,,"igaznak lenni",,
28830,"be turned off to",,,"ki kell kapcsolni",,
28831,"be turned on by",,,"be kell kapcsolnia",,
28832,"be uncertain",,,bizonytalan,,
28833,"be under obligation",,,kötelezzék,,
28834,"be understanding",,,"legyen megértés",,
28835,"be undetermined",,,határozatlan,,
28836,"be unfaithful",,,"légy hitetlen",,
28837,"be unguarded",,,"őrzés nélkül",,
28838,"be unlike",,,"legyen ellentétes",,
28839,"be unoccupied",,,"legyen üres",,
28840,"be unprepared",,,"készüljön fel",,
28841,"be unsuccessful",,,sikertelen,,
28842,"be untiring",,,fáradhatatlan,,
28843,"be untruthful",,,tévedjen,,
28844,"be unwilling",,,"nem hajlandó",,
28845,"be up in arms",,,"legyenek karjaiban",,
28846,"be up to",,,legfeljebb,,
28847,"be upfront",,,"legyen előre",,
28848,"be upset",,,"legyen ideges",,
28849,"be variable",,,változó,,
28850,"be versed",,,ismerős,,
28851,"be vexed",,,"legyen bosszús",,
28852,"be victorious",,,győzzön,,
28853,"be visible",,,"legyen látható",,
28854,"be visual appeal",,,"vizuális fellebbezés",,
28855,"be wafted",,,összeszorítva,,
28856,"be wary of",,,"legyen óvatos",,
28857,"be wasteful",,,"pazarló legyen",,
28858,"be wasteful with",,,pazaroljon,,
28859,"be well",,,"jól legyen",,
28860,"be wild about",,,"legyetek vadak",,
28861,"be wired",,,vezetékes,,
28862,"be without",,,"legyen nélkül",,
28863,"be wont to",,,"legyen szokás",,
28864,"be worth",,verb,megér,"live to be",
28865,"be worthy",,,"legyen méltó",,
28866,"be worthy of",,,érdemes,,
28867,"be wrong",,,tévedjen,,
28868,"beach bum",,,strandtörő,,
28869,"beach waggon",,,"tengerparti kocsi",,
28870,"beach wagon",,,strandkocsi,,
28871,beachcomber,ˈbēCHˌkōmər,noun,beachcomber,beach-comber|beach-comber,"tarajos hullám|guberáló"
28872,beachhead,ˈbēCHˌhed,noun,beachhead,"beach head|basis|bridgehead|beach head|fulcrum|base|beach head","hídfőállás|támaszpont|tengerparti hídfő"
28873,beachwear,ˈbēCHˌwe(ə)r,noun,strandruha,,
28874,beachy,ˈbēCHē,,beachy,,
28875,"beacon fire",,,"beacon tűz",,
28876,"beacon light",,,jelzőfény,,
28877,beacon-fire,,,beacon-tűz,,
28878,beaded,,,gyöngyös,,
28879,"beaded with sweat",,,"gyöngyözött izzadsággal",,
28880,beader,,,Beader,,
28881,beading,ˈbēdiNG,,gyöngyfűzés,,
28882,beadle,ˈbēdl,noun,sekrestyés,sexton|sacrist|verger,
28883,beadledom,,noun,formalizmus,formalism|conventionalism|formulism,
28884,bead-like,,,peremszerű,,
28885,beadroll,,,beadroll,,
28886,beads,,noun,rózsafüzér,rosary,
28887,beadsman,,,beadsman,,
28888,beadwork,ˈbēdˌwərk,noun,gyöngysor,necklet,
28889,beady,ˈbēdē,adjective,habzó,effervescent|foamy|frothy|lathery,gyöngyszemű
28890,beagle,ˈbēgəl,noun,vizsla,retriever|pointer|deer-hound,
28891,beaglebrained,,,beaglebrained,,
28892,beaker,ˈbēkər,noun,serleg,goblet|bucket,"csőrös bögre"
28893,beaks,bēk,noun,csőr,beak|pecker|neb|beak|beak|magistrate|beak|teacher|schoolteacher|beak,"madár orra|kampós orr|rendőrbíró|tanár"
28894,"be-all and end-all",,,"Mindenki és vége",,
28895,"beam of light",,,fénysugár,,
28896,beamed,,verb,gerendás,radiate|broadcast|transmit|beam|eradiate|radiocast|shine|gleam|blaze|glister|glitter|glare,sugároz|ragyog
28897,beamer,,,projektor,,
28898,beamingly,,,beamingly,,
28899,beamishly,,,beamishly,,
28900,beams,,noun,gerendák,"beam|girder|baulk|beam|radius|ray|beam|radar beam|rod|ingot|beam|stele|spotlight|floodlight|limelight|beam",gerenda|sugár|sugárnyaláb|rúd|reflektorfény
28901,beamy,ˈbēmē,,beamy,,
28902,"bean counter",,,"bab számláló",,
28903,"bean plant",,,babnövény,,
28904,"bean pole",,,"bab pólus",,
28905,"bean wagon",,,babkocsi,,
28906,beanfeast,,,beanfeast,,
28907,beano,,noun,bongó,,
28908,beanpole,ˈbēnˌpōl,,beanpole,,
28909,beans,,noun,bab,"bean|haricot bean|bean|penny|mite|bean",kávészem|fillér
28910,beanstalk,ˈbēnˌstôk,,beanstalk,,
28911,beany,,,babszerű,,
28912,"bear a grudge",,verb,"neheztel valakire",,"neheztel vkire"
28913,"bear a hand",,,"viseljen kezét",,
28914,"bear away",,,elviselni,,
28915,"bear company",,,"medve társaság",,
28916,"bear comparison",,,összehasonlítani,,
28917,"bear date",,,dátumot,,
28918,"bear down",,verb,lecsap,pounce|smite|down|defeat|overcome|conquer|subject,legyőz
28919,"bear down on",,,lefelé,,
28920,"bear down upon",,,lefelé,,
28921,"bear false witness",,,"hamis tanúbizonyságot kell tennie",,
28922,"bear fruit",,,"rózsát terem",,
28923,"bear garden",,noun,zsibvásár,"junk yard|rag fair",
28924,"bear hard upon",,,"keményen viselje",,
28925,"bear hardship",,,"viselje nehézségeit",,
28926,"bear hug",,,"Maci ölelés",,
28927,"bear in mind",,verb,"észben tart","keep in mind|think of|have in mind","gondol vmire"
28928,"bear malice toward",,,"viselkedjen rosszindulatú felé",,
28929,"bear no malice",,,"nincs rosszindulat",,
28930,"bear no resemblance",,,"nincs hasonlóságuk",,
28931,"bear off",,,"tedd le",,
28932,"bear on",,,viselnie,,
28933,"bear out",,verb,igazol,certify|verify|justify|prove|legitimate|confirm|corroborate,alátámaszt
28934,"bear resemblance to",,,hasonlít,,
28935,"bear the brunt",,,"viselje a tétet",,
28936,"bear the cost",,,"viseli a költségeket",,
28937,"bear the expense",,,"viseli a költségeket",,
28938,"bear up",,verb,"viselje fel",aid|support|promote|assist|favor,támogat
