ID,"input word",pronounce,part-of-speech,translation,synonyms,alt-synonyms
1103,ascertain,ˌasərˈtān,verb,meggyőződik,"diagnose|determine|identify|assess|diagnosticate|bring to light|detect|clear up|copy|try out|learn|hear|come to know|gather|define|specify|limit|assign|locate|fix|fasten|immobilize|stabilize|tie down",megállapít|kiderít|tisztáz|kipuhatol|megtud|meghatároz|rögzít
1104,ascribe,əˈskrīb,verb,"tulajdonít vkinek",,
1105,aseptic,āˈseptik,adjective,steril,sterile|sterilized,fertőzésmentes
1106,ashamed,əˈSHāmd,adjective,megszégyenülve,,
1107,ashen,Āsēna,,jött,,
1108,ashes,,noun,hamu,,"holtak hamva"
1109,ashy,ˈaSHē,adjective,"hamuval borított",,
1110,aside,əˈsīd,adverb,félre,apart|out-of-the-way,
1111,"aside from",,conjunction,eltekintve,,
1112,asinine,ˈasəˌnīn,adjective,ostoba,stupid|silly|goofy|dumb|idiotic,szamár
1113,asininity,,,asininity,,
1114,ask,ask,verb,kérdez,question|interrogate|quaere|request|demand|petition|beg|plead|invite,kér|megkér|felkér|meghív
1115,"ask for",,verb,kérni,"search|look for|quest|seek after|hunt for",keres|elkér
1116,askance,əˈskans,adverb,gyanakodva,suspiciously|diagonally|askew|slantwise|awry|aslope,ferdén
1117,askant,,,askant,,
1118,askew,əˈskyo͞o,adverb,ferdén,diagonally|slantwise|awry|aslope|aslant,
1119,aslant,əˈslant,adverb,ferdén,diagonally|askew|slantwise|awry|aslope,
1120,asleep,əˈslēp,adjective,Alva,sleeper|dormant|slumberous,alvó
1121,asocial,āˈsōSHəl,adjective,"nem szociális",,
1122,aspect,ˈaspekt,noun,vonatkozás,respect|concern|bearing|viewpoint|state|situation|position|status|location,nézőpont|helyzet
1123,asperity,əˈsperitē,noun,keménység,hardness|stiffness|harshness|crustiness|substance,darabosság
1124,asperse,,,rágalmaz,,
1125,aspersing,əˈspərs,verb,aspersing,slander|defame|asperse|calumniate|denigrate|backbite|vilify|depreciate|decry|disparage|malign|asperse,rágalmaz|becsmérel
1126,"asphalt jungle",,,"aszfalt dzsungel",,
1127,aspirant,"əˈspī-,ˈaspərənt",noun,pályázó,applicant|competitor|postulant,
1128,aspiration,ˌaspəˈrāSHən,noun,törekvés,endeavor|pursuit|intention|endeavour,
1129,aspire,əˈspī(ə)r,verb,törekszik,"pursue|make a break for it","nagyra vágyik"
1130,aspiring,əˈspī(ə)riNG,adjective,Feltörekvő,ambitious,becsvágyó
1131,ass,as,noun,szamár,donkey|burro|moke|nincompoop|butt|fanny|arse|bottom|buttocks|rear|backside|bum|buttocks|behind|back|nates|arse,"segg|fenék|ülep|ostoba tökfilkó"
1132,assail,əˈsāl,verb,megtámad,attack|assault|combat|impugn,megrohan
1133,assailant,əˈsālənt,adjective,támadó,offensive|attacking|aggressive|invasive,
1134,assassin,əˈsasin,noun,orgyilkos,thug|desperado,
1135,assassinate,əˈsasəˌnāt,verb,"orvul meggyilkol",,
1136,assault,əˈsôlt,noun,támadás,attack|offensive|raid|onslaught|offense|rush|attack|fit|storm|onset|siege,roham|ostrom
1137,assaulter,,noun,támadó,attacker|aggressor|raider|invader|aggressor|assailant,agresszor
1138,assaultive,əˈsôltiv,,bántalmazás,,
1139,assaultiveness,,,assaultiveness,,
1140,assay,"aˈsā,ˈaˌsā",noun,próba,test|trial|try|experiment|hallmark|examination,"elemzési minta|vizsgálás"
1141,assemblage,əˈsemblij,noun,ácsolás,,
1142,assemble,əˈsembəl,verb,összeszerelni,"piece together|edit|compile|compose|make out|pile up|accumulate|round up|hive|rally",összeállít|gyülekezni|összegyűjt
1143,assembly,əˈsemblē,noun,gyülekezés,rendezvous|congregation|convention|meeting|rally|function|alignment|line-up,gyülekezet|gyűlés|összeszerelt|sorakozó
1144,assent,əˈsent,noun,hozzájárulás,contribution|consent|approval|permission|share,
1145,assert,əˈsərt,verb,érvényesíteni,say|declare|state|enunciate|pronounce|strengthen|confirm|amplify|intensify|affirm,kijelent|erősít
1146,assertion,əˈsərSHən,noun,kijelentés,statement|saying|pronouncement|enunciation|dictum|claim|demand|due|requisition,követelés
1147,assertive,əˈsərtiv,adjective,határozott,selfish|egoistic|egocentric|hoggish|self-centered|intrusive|obtrusive|meddlesome|indiscreet,önző|tolakodó
1148,assertiveness,,noun,önzés,selfishness|egoism|egomania|self-interest|intrusion|crush|importunity|indiscretion,tolakodás
1149,assess,əˈses,verb,értékeli,"measure|estimate|evaluate|appraise|compute|impose|levy|judge|criticize|evaluate|diagnose|ascertain|determine|identify|diagnosticate|prescribe|specify|ordain|inflict|take up|enroll|admit|take on|pull on|inventory|take stock","felbecsül|kivet|elbírál|megállapít|adót kivet|előír|kiró|felvesz|leltároz"
1150,assessment,əˈsesmənt,noun,értékelés,evaluation|rating|valuation|appraisal|interpretation|levy|rating|appraisal,adókivetés|felbecsülés
1151,asset,ˈaset,noun,vagyontárgy,possession|holding|estate|property|domain,birtok
1152,asseveration,əˌsevəˈrāSHən,noun,kinyilatkoztatás,revelation|annunciation|pronouncing,
1153,assiduity,ˌasiˈd(y)o͞oitē,noun,szorgalom,diligence|industry|sedulity|studiousness|care|provision|solicitude|providing,gondoskodás
1154,assiduous,əˈsijəwəs,adjective,szorgalmas,diligent|hard-working|industrious|studious|sedulous,
1155,assiduously,,,kitartóan,,
1156,assiduousness,,noun,pontosság,accuracy|precision|punctuality|exactness|preciseness,
1157,assign,əˈsīn,verb,hozzárendelni,"designate|appoint|mark off|mark out|lay out|confer|convey|hand over|devolve|depute|define|specify|limit|ascertain|locate|budget|subsume|organize|subordinate|attach","kijelöl|átruház|meghatároz|beoszt|beosztásba helyez|alárendel|kikülönít"
1158,assignation,ˌasigˈnāSHən,noun,átruházás,transfer|assignment|conveyance|grant|conferment|remittance,utalványozás
1159,assignee,əˌsīˈnē,noun,engedményes,concessioner,
1160,assignment,əˈsīnmənt,noun,feladat,designation|denotation|transfer|conveyance|grant|conferment|assignation|post|rank|disposition|calibration|benefit|allowance|allocation,kijelölés|átruházás|beosztás|juttatás
1161,assimilate,əˈsiməˌlāt,verb,hasonul,"smelt down|melt down|nationalize",beolvaszt
1162,assist,əˈsist,verb,segít,help|aid|relieve|succor|minister|aid|support|promote|favor|help,támogat
1163,assistance,əˈsistəns,noun,támogatás,aid|support|promotion|subsidization|help|help|support|aid|relief|succor|contribution,segítségnyújtás|segítség|közreműködés
1164,assistant,əˈsistənt,noun,helyettes,deputy|vice|substitute|proxy|surrogate|helper,segítő
1165,associate,,adjective,munkatárs,associated,társult
1166,association,"-SHē-,əˌsōsēˈāSHən",noun,Egyesület,organization|society|covenant|guild|alliance|league|society|corporation|union|integration|junction|coalescence|aggregation|connection|relationship|link|relation|linkage,egyesület|szövetség|társulás|egyesülés|kapcsolat
1167,assort,əˈsôrt,verb,kiválogat,sort|garble,szortíroz
1168,assorted,əˈsôrtid,adjective,válogatott,selected|choice|select|picked|hand-picked|mixed|miscellaneous|composite|mingled|promiscuous,vegyes
1169,assortment,əˈsôrtmənt,noun,választék,range|selection|choice|variety|classification|sorting|gradation,osztályozás|kiválogatás|mintagyűjtemény
1170,assuage,əˈswāj,verb,csillapít,"soothe|attenuate|mitigate|salve|palliate|reassure|quiet down|still|quell|calm down",megnyugtat
1171,assumably,,,assumably,,
1172,assume,əˈso͞om,verb,feltételezni,suppose|presume|presuppose|hypothesize|surmise,"feltételez|magára vállal"
1173,assumed,,adjective,feltételezte,pretended|affected|feigned,tettetett
1174,assumption,əˈsəm(p)SHən,noun,feltevés,hypothesis|supposition|surmise|guess|hypothesis,hipotézis|mennybemenetel
1175,assumptive,əˈsəm(p)tiv,adjective,feltevésszerű,,
1176,assurance,əˈSHo͝orəns,noun,biztosíték,fuse|guarantee|safeguard|bond|warrant,szavatolás
1177,assure,əˈSHo͝or,verb,biztosíthatom,,"biztossá tesz"
1178,assured,əˈSHo͝ord,adjective,biztosított,insured,
1179,assuredly,,adverb,bizonyosan,,
1180,assuredness,,noun,biztosság,sureness,
1181,astern,əˈstərn,adverb,hátul,behind,"hajó farán"
1182,asthenia,asˈTHēnēə,noun,gyengeség,marasmus,elgyengülés
1183,asthenic,asˈTHenik,,legyengült,,
1184,astir,əˈstər,adverb,izgatottan,heatedly|afoot,mozgásban
1185,astonish,əˈstäniSH,verb,megdöbbent,"astound|dismay|dumbfound|flabbergast|take aback|astound|amaze|bowl over|perplex|nonplus|astound","ámulatba ejt|meghökkent"
1186,astonished,əˈstäniSHt,adjective,döbbent,shocked,
1187,astonishing,əˈstäniSHiNG,adjective,megdöbbentő,appalling|shocking|appaling,
1188,astonishment,əˈstäniSHmənt,noun,csodálkozás,wonderment,
1189,astound,əˈstound,verb,megdöbbent,"astonish|dismay|dumbfound|flabbergast|take aback|amaze|bowl over|perplex|nonplus|flummox|astonish","meghökkent|ámulatba ejt"
1190,astounded,,verb,megdöbbent,"astonish|astound|dismay|dumbfound|flabbergast|take aback|amaze|bowl over|perplex|nonplus|astound|flummox|astonish|astound","meghökkent|ámulatba ejt"
1191,astounding,əˈstoundiNG,adjective,meghökkentő,,
1192,astral,ˈastrəl,adjective,csillagászati,astronomical|astronomic,"csillagokra vonatkozó"
1193,astray,əˈstrā,adverb,"téves irányban",,
1194,astronomic,,adjective,csillagászati,astronomical|astral|astronomical,asztronómiai
1195,astronomical,ˌastrəˈnämikəl,adjective,csillagászati,astronomic|astral|astronomic,asztronómiai
1196,astronomically,,,csillagászatilag,,
1197,astute,əˈst(y)o͞ot,adjective,ravasz,cunning|sly|crafty|canny|cute,
1198,astuteness,,,furfang,,
1199,asunder,əˈsəndər,adverb,ketté,"far|away from|afar|wide","távol|el egymástól"
1200,aswoon,,,aswoon,,
1201,asylum,əˈsīləm,noun,"bolondok háza","mental hospital|madhouse|bedlam|hospice",elmegyógyintézet|menedékház
1202,"at all",,adverb,egyáltalán,,
1203,athirst,əˈTHərst,,szomjúhoztál,,
1204,athwart,əˈTHwôrt,adverb,keresztben,across|thwart|diagonally|askew|slantwise|awry|aslope,ferdén
1205,atilt,,,atilt,,
1206,atmosphere,ˈatməsˌfi(ə)r,noun,légkör,environment|ambience|sky,
1207,atom,ˈatəm,noun,atom,nuclear|particle|molecule|mote,részecske
1208,atomic,əˈtämik,adjective,atom,nuclear-powered|nuclear-propelled|nuclear-propelled,atomos|atommeghajtású|atomhajtóműves
1209,atomize,ˈatəˌmīz,verb,porlaszt,pulverize|spray|vaporize|levigate,"részekre bont"
1210,"atone for",,verb,egyetért,,"megszenved vmiért"
1211,atremble,,,atremble,,
1212,atrocious,əˈtrōSHəs,adjective,kegyetlen,cruel|brutal|ferocious|merciless|savage|brutal|beastly|moron,brutális
1213,atrociousness,,,atrociousness,,
1214,atrocity,əˈträsitē,noun,kegyetlenség,cruelty|brutality|barbarity|inhumanity|monstrosity|enormity|frightfulness|abnormality,szörnyűség
1215,atrophy,ˈatrəfē,noun,sorvadás,tabescence|phthisis|regression|regress|retrogression,visszafejlődés
1216,attach,əˈtaCH,verb,csatolni,sequester|engage|confiscate|impound|foreclose|nail|subordinate|assign|confirm|strengthen|reinforce|fortify|verify,hozzákapcsol|lefoglal|odaerősít|alárendel|átalárendel|megerősít|elvezényel
1217,attached,əˈtaCHt,adjective,csatolt,clasped|subordinate|subordinated|dependent|minor|inferior,hozzáerősített|átalárendelt|alárendelt
1218,attachment,əˈtaCHmənt,noun,mellékletet,subordination|subjugation|allocation|reattachment|allotment|reassignment|roster,hozzáerősítés|alárendelés|átalárendelés|vezénylés
1219,attack,əˈtak,noun,támadás,"offensive|assault|raid|onslaught|offense|rush|fit|assault|storm|onset|disaster|strike|stroke|adversity|plague|air raid|raid",roham|támad|csapás|légitámadás|támadóharc
1220,"attack dog",,,"támadó kutya",,
1221,attacker,əˈtakər,noun,támadó,aggressor|raider|invader|assaulter,támadófél|rohamozó
1222,attain,əˈtān,verb,elérése,realize|achieve|effect|effectuate|accomplish,"megvalósít|elér célt|megnyer"
1223,attainable,əˈtānəbəl,adjective,elérhető,available|accessible|achievable,
1224,attainment,əˈtānmənt,noun,elérését,acquisition|acquirement|procurement|obtestation,megszerzés
1225,attar,ˈatər,noun,rózsaolaj,,
1226,attempt,əˈtem(p)t,noun,kísérlet,experiment|try|test,próbálkozás
1227,attend,əˈtend,verb,"részt vesz","take part|participate|engage in|share|sit in|watch|listen|pay attention|mind|heed|accompany|reside|inhere|connote","figyel|eljár|vele jár"
1228,attendant,əˈtendənt,noun,kísérő,accompanist|chaperon|wingman|henchman,
1229,attending,,verb,részt,"take part|attend|participate|engage in|share|sit in|watch|listen|pay attention|mind|attend|heed|attend|accompany|reside|attend|inhere|connote","részt vesz|figyel|eljár|vele jár"
1230,attention,əˈtenCHən,noun,Figyelem,heed|consideration|courtesy|politeness|civility|comity|urbanity,figyelem|figyelmesség|udvariasság
1231,attentive,əˈtentiv,adjective,figyelmes,observant|thoughtful|perceptive|mindful|open-eyed|careful|mindful|solicitous|heedful|regardful,gondos
1232,attentiveness,,,attentiveness,,
1233,attenuate,,verb,gyengítése,"soothe|assuage|mitigate|salve|palliate|decrease|reduce|diminish|lower|cut|dilute|extenuate|water down|rarefy",csillapít|csökkent|hígít
1234,attest,əˈtest,verb,tanúsít,certify|testify|witness|vouch|depose|evidence|prove|demonstrate|testify|aver|guarantee|avouch,bizonyít|kezeskedik
1235,attestation,,noun,hitelesítés,authentication|legalization|certification|standardization|vidimus|deposition,tanúvallomás
1236,attic,ˈatik,adjective,tetőtér,Attic,attikai
1237,attire,əˈtī(ə)r,noun,viselet,"wear|clothes|raiment|clothing department|vesture",ruházat
1238,attitude,ˈatiˌt(y)o͞od,noun,hozzáállás,behavior|conduct|deportment|demeanor|mien|state|situation|position|status|location|behavior|conduct|demeanor|bearing|deportment|pose|posture|posture|pose|gait|carriage,"magatartás|helyzet|viselkedés|póz|testtartás|térbeli helyzet"
1239,attorney,əˈtərnē,noun,ügyvéd,"lawyer|solicitor|counsel|advocate|barrister|counsel for the defense|solicitor|pleader|judge advocate",védőügyvéd
1240,attorney-at-law,,,ügyvéd,,
1241,attraction,əˈtrakSHən,noun,vonzerő,attractiveness|appeal|appeal|charisma|affinity|seduction|temptation|enticement,varázs|vonzódás|csábítás
1242,attractive,əˈtraktiv,adjective,vonzó,engaging|desirable|seductive|fetching|charming|graceful|lovely|gracious|comely,bájos
1243,attractiveness,,noun,vonzerő,attraction|appeal,
1244,attribute,,noun,tulajdonság,characteristics|type|distinctness,jellegzetesség
1245,attribution,,noun,tulajdonság,ascription|nature|virtue,tulajdonítás
1246,attrition,əˈtriSHən,noun,veszteség,loss|losses|casualties|damage|casualty|wear-and-tear,elhasználódás|felőrlődés|elkopás
1247,attune,əˈt(y)o͞on,verb,összeegyeztet,comply,
1248,atwitter,,,atwitter,,
1249,atypical,āˈtipikəl,adjective,atipikus,abnormal|irregular|anomalous,rendellenes
1250,"au courant",,,"tudatában van",,
1251,"au naturel",,,természetes,,
1252,"au revoir",,,búcsú,,
1253,auberge,ōˈberZH,,Auberge,,
1254,audacious,ôˈdāSHəs,adjective,vakmerő,daring|reckless|foolhardy|fearless|temerarious,
1255,audaciousness,,noun,bátorság,courage|bravery|boldness|nerve|prowess,
1256,audacity,ôˈdasitē,noun,vakmerőség,temerity|fearlessness|recklessness|dare|venture,
1257,audial,ˈôdēəl,,audial,,
1258,audibly,,adverb,tisztán,purely|clear|cleanly|fairly,
1259,audience,ˈôdēəns,noun,közönség,public|interrogation|hearing|listening|interrogatory,kihallgatás
1260,audile,,,Audi,,
1261,audit,ˈôdit,noun,könyvvizsgálat,revision|re-examination,felülvizsgálat
1262,auditorium,ˌôdiˈtôrēəm,noun,előadóterem,"lecture hall",auditórium
1263,auditory,ˈôdiˌtôrē,adjective,hallási,,"hallásra vonatkozó"
1264,augean,,,augiász,,
1265,"augean stable",,,stabil,,
1266,aught,ôt,adverb,valahogy,"anyway|in a way",
1267,augment,,verb,fokozza,magnify,nagyobbodik|nagyobbít
1268,augmentation,ˌôgmenˈtāSHən,noun,nagyobbodás,growth|increase|growing|rise|increment,növekedés
1269,augur,ˈôgər,verb,jósol,"tell fortunes|bode|adumbrate|foretell|prophesy",megjövendöl
1270,auguring,ˈôgər,verb,auguring,"tell fortunes|augur|bode|adumbrate|foretell|prophesy|augur",jósol|megjövendöl
1271,augury,ˈôgyərē,noun,jövendölés,prophecy|prediction|oracle|prognostication|vaticination|foreshadow|bode|prognostic|foretoken|prognostication,előjel
1272,august,ôˈgəst,noun,augusztus,August,
1273,augustness,,,augustness,,
1274,"auld lang syne",,,régen,,
1275,aura,ˈôrə,noun,aura,anticipation|hunch|premonition|presentiment|steaming|exhalation,előérzet|gőzölgés
1276,aural,ˈôrəl,adjective,hangzásbeli,otic|auricular,"halló|füllel kapcsolatos|kiáramló|füllel hallható|fül-|füli-"
1277,aureate,"-ˌāt,ˈôrē-it",adjective,arany-,,
1278,aureola,,,halo,,
1279,aureole,ˈôrēˌōl,noun,dicsfény,gloriole|halo|halation,"dicsfénnyel körülvesz|fényudvar"
1280,auricular,ôˈrikyələr,adjective,"füllel kapcsolatos",aural,
1281,aurora,"ôˈrôrə,əˈrôrə",noun,hajnal,dawn|orient,
1282,auspice,ˈôspis,noun,madárjóslás,,
1283,auspicious,ôˈspiSHəs,adjective,kedvező,favorable|positive|preferential|propitious|prosperous,
1284,austere,ôˈsti(ə)r,adjective,szigorú,strict|stringent|severe|rigorous|rigid|grim|inclement|stern|dour|rigorous|simple|easy|plain|primitive|modest,zord|egyszerű
1285,autarchy,,noun,"korlátlan szuverenitás",,
1286,authentic,ôˈTHentik,adjective,hiteles,trustworthy|documentary|unexceptional|crediting|real|genuine|actual|very|intrinsic,autentikus|valódi
1287,authentically,,adverb,hitelesen,genuinely,
1288,authenticate,ôˈTHentiˌkāt,verb,hitelesít,certify|verify|legalize|corroborate|calibrate|attest|certify|testify|witness|vouch,tanúsít
1289,author,ˈôTHər,noun,szerző,composer|writer|originator|writer|buttermilk,író
1290,authoritarian,"ôˌTHär-,əˌTHôriˈte(ə)rēən",adjective,tekintélyelvű,,"tekintély elvi"
1291,authoritarianism,,,tekintélyelvűség,,
1292,authoritative,"əˈTHär-,əˈTHôriˌtātiv",adjective,irányadó,normative|imperious|imperative|imperatival,parancsoló
1293,authority,"ôˈTHär-,əˈTHôritē",noun,hatóság,"authorities|power|might|empire|potency|ascendancy|prestige|headship|consideration|credit|delegation|warranty|reach|limit of power|purview|extent|function|license|permission|permit|clearance|pass|power of attorney|authorization|mandate|procuration|commission|mandate|commission|entrusting|mission|charge","hatalom|tekintély|autoritás|felhatalmazás|hatáskör|engedély|jogkör|meghatalmazás|megbízás|kiváló szakember|elismert tekintély|egyedély|szakmai hozzáértés"
1294,authorization,ˌôTHərəˈzāSHən,noun,meghatalmazás,mandate|authority|procuration|commission,
1295,authorize,ˈôTHəˌrīz,verb,engedélyez,allow|permit|grant|charter|countenance|depute|empower|enable|license|entitle|empower|authorise,felhatalmaz|meghatalmaz
1296,authorized,ˈôTHəˌrīzd,adjective,felhatalmazott,,rendszeresített
1297,auto,ˈôtō,noun,kocsi,car|carriage|wagon|waggon,
1298,autochthon,ôˈtäkTHən,noun,őslakos,,
1299,autochthonous,ôˈtäkTHənəs,,autochton,,
1300,autocracy,ôˈtäkrəsē,noun,önkényuralom,tyranny|despotism,
1301,autocrat,ˈôtəˌkrat,noun,zsarnok,tyrant|despot|oppressor|satrap|terrorist,
1302,autocratic,ˌôtəˈkratik,adjective,zsarnoki,tyrannical|despotic|tyrannous|Procrustean|autocratical|autocratical,önkényeskedő
1303,autocratical,,adjective,önkényeskedő,autocratic|tyrannical|despotic|autocratic|tyrannous|Procrustean,zsarnoki
1304,autodidactic,,,önképzés,,
1305,autograph,ˈôtəˌgraf,noun,autogram,,
1306,automated,,adjective,automatizált,,
1307,automatic,ˌôtəˈmatik,adjective,automatikus,automatical|self-acting|automatical|automatical|self-acting|self-propelled,automata|önműködő
1308,automation,ˌôtəˈmāSHən,noun,automatizálás,,
